wave(um) flux(mJy) ABmag
0.0705 0.000000e+00 inf
0.0711 0.000000e+00 inf
0.0717 0.000000e+00 inf
0.0724 0.000000e+00 inf
0.0730 0.000000e+00 inf
0.0736 0.000000e+00 inf
0.0743 0.000000e+00 inf
0.0749 0.000000e+00 inf
0.0755 0.000000e+00 inf
0.0762 0.000000e+00 inf
0.0768 0.000000e+00 inf
0.0774 0.000000e+00 inf
0.0780 0.000000e+00 inf
0.0787 0.000000e+00 inf
0.0793 0.000000e+00 inf
0.0799 0.000000e+00 inf
0.0806 0.000000e+00 inf
0.0812 0.000000e+00 inf
0.0818 0.000000e+00 inf
0.0825 0.000000e+00 inf
0.0831 0.000000e+00 inf
0.0837 0.000000e+00 inf
0.0843 0.000000e+00 inf
0.0850 0.000000e+00 inf
0.0856 0.000000e+00 inf
0.0862 0.000000e+00 inf
0.0869 0.000000e+00 inf
0.0875 0.000000e+00 inf
0.0881 0.000000e+00 inf
0.0888 0.000000e+00 inf
0.0894 0.000000e+00 inf
0.0900 0.000000e+00 inf
0.0906 0.000000e+00 inf
0.0913 0.000000e+00 inf
0.0919 0.000000e+00 inf
0.0925 0.000000e+00 inf
0.0932 0.000000e+00 inf
0.0938 0.000000e+00 inf
0.0944 0.000000e+00 inf
0.0951 0.000000e+00 inf
0.0957 0.000000e+00 inf
0.0963 0.000000e+00 inf
0.0969 0.000000e+00 inf
0.0976 0.000000e+00 inf
0.0982 0.000000e+00 inf
0.0988 0.000000e+00 inf
0.0995 0.000000e+00 inf
0.1001 0.000000e+00 inf
0.1007 0.000000e+00 inf
0.1014 0.000000e+00 inf
0.1020 0.000000e+00 inf
0.1026 0.000000e+00 inf
0.1032 0.000000e+00 inf
0.1039 0.000000e+00 inf
0.1045 0.000000e+00 inf
0.1051 0.000000e+00 inf
0.1058 0.000000e+00 inf
0.1064 0.000000e+00 inf
0.1070 0.000000e+00 inf
0.1077 0.000000e+00 inf
0.1083 0.000000e+00 inf
0.1089 0.000000e+00 inf
0.1095 0.000000e+00 inf
0.1102 0.000000e+00 inf
0.1108 0.000000e+00 inf
0.1114 0.000000e+00 inf
0.1121 0.000000e+00 inf
0.1127 0.000000e+00 inf
0.1133 0.000000e+00 inf
0.1140 0.000000e+00 inf
0.1146 0.000000e+00 inf
0.1152 0.000000e+00 inf
0.1158 0.000000e+00 inf
0.1165 0.000000e+00 inf
0.1171 0.000000e+00 inf
0.1177 0.000000e+00 inf
0.1184 0.000000e+00 inf
0.1190 0.000000e+00 inf
0.1196 0.000000e+00 inf
0.1203 0.000000e+00 inf
0.1209 0.000000e+00 inf
0.1215 0.000000e+00 inf
0.1221 0.000000e+00 inf
